index	batch	corpus	source_document	label	second_label	sentence
0	pilot	us-congress	CHRG-117hhrg45230.txt	NO		perfectly positioned to accelerate the innovations we need to address
1	pilot	us-congress	CHRG-117shrg46951.txt	YES		Will you commit to working with my office on this proposal which
2	pilot	us-congress	CHRG-118hhrg60114.txt	NO		The administration and Congress should work with industry to
3	pilot	us-congress	minutes-99-pals.txt	YES		Fangwei: will move MS PW modeling to that model
4	pilot	us-congress	CHRG-118hhrg53710.txt	YES		I will get back to you on the timing
5	pilot	us-congress	CHRG-117hhrg44538.txt	NO		will tend to reject data that is too biased, that doesn't fit
6	pilot	us-congress	CHRG-114hhrg26123.txt	FRAG		little bit hollow in here, hey, well, you know, we have got to
7	pilot	us-congress	CHRG-116hhrg36639.txt	NO		providing healthcare to people, you are going to have a bigger
8	pilot	us-congress	CHRG-115hhrg35951.txt	NO		Well, I am still waiting for a response for
9	pilot	us-congress	CHRG-117shrg49451.txt	NO		going to be vulnerable to increased peak flow rates, and
10	pilot	us-congress	CHRG-118hhrg54069.txt	NO		that a mob that chanted, quote, ``Jews will not replace us''
11	pilot	us-congress	CHRG-117hhrg43964.txt	NO		It is now going to be $400 if
12	pilot	us-congress	CHRG-117shrg50344.txt	NO		Therefore, policymakers should be cautious about extending
13	pilot	us-congress	CHRG-118shrg54494.txt	NO		What specific actions will you take in your first few
14	pilot	us-congress	CHRG-115hhrg30791.txt	NO		CDM will transform this, enabling
15	pilot	us-congress	CHRG-118shrg60005.txt	NO		when it was going to happen.
16	pilot	us-congress	CHRG-117hhrg44548.txt	NO		will only hasten the destruction of unique cultures within the
17	pilot	us-congress	minutes-68-idr.txt	NO		- Rajiv -- well we can fix anything in theory.
18	pilot	us-congress	CHRG-116shrg35617.txt	YES		the Members of this body that on day one, I will work with
19	pilot	us-congress	CHRG-117shrg52323.txt	NO		Meeting in Baku Will be Hosted by Cultural Destroyers (https://
20	pilot	us-congress	CHRG-117hhrg47035.txt	NO		that will guide our work for years to come.
21	pilot	us-congress	CHRG-116hhrg38643.txt	NO		And so we will work with that.
22	pilot	us-congress	CHRG-117shrg51736.txt	NO		President Castro will not fully align with the United
23	pilot	us-congress	CHRG-116hhrg36878.txt	NO		Well, I hope that we can work constructively
24	pilot	us-congress	CHRG-114shrg25897.txt	NO		The CH-53K will provide land and sea based heavy-lift capabilities
25	pilot	us-congress	CHRG-116hhrg35169.txt	NO		So when I think about how we build infrastructure that will
26	pilot	us-congress	CHRG-118hhrg52350.txt	NO		rising sea levels, etc.) will help implement the strategy put forth.
27	pilot	us-congress	CHRG-115shrg38094.txt	NO		regulatory, should maintain the focus on streamlining reporting
28	pilot	us-congress	CHRG-115shrg40416.txt	NO		The first GPS III space vehicle will launch later
29	pilot	us-congress	minutes-103-qirg.txt	NO		Work toward a Quantum Internet is well underway in physics
30	pilot	us-congress	minutes-114-rats-202207251000.md	NO		Should we add a standard profile
31	pilot	us-congress	CHRG-116hhrg42327.txt	NO		or third party could file to unseal, well, that is true in some
32	pilot	us-congress	CHRG-116shrg29104926.txt	NO		The $60.0 million budget will be used to: (1) develop, evaluate,
33	pilot	us-congress	CHRG-116hhrg37407.txt	NO		And let me back up for just a second.
34	pilot	us-congress	CHRG-116hhrg37586.txt	NO		Well, as I started to learn more about PFAS, I started to
35	pilot	us-congress	CHRG-117hhrg47348.txt	NO		will be made part of the record.
